14 07 06  01 43 01  87.1495  117.0179  24.4694
14 07 06  01 44 01  86.8522  117.0927  24.4694
14 07 06  01 45 01  86.8770  116.9680  24.4694
14 07 06  01 46 01  87.0505  116.9181  24.4694
14 07 06  01 47 01  86.9265  117.1426  24.4732
14 07 06  01 48 02  86.9265  117.0927  24.4694
14 07 06  01 49 01  87.1743  116.9181  24.4732
14 07 06  01 50 01  87.1248  116.9431  24.4732
14 07 06  01 51 01  87.1495  117.0428  24.4694
14 07 06  01 52 02  86.9514  117.1426  24.4732
14 07 06  01 53 01  87.0009  117.0179  24.4656
14 07 06  01 54 01  86.8770  117.1426  24.4732
14 07 06  01 55 01  87.0257  117.1925  24.4656
14 07 06  01 56 01  87.0752  116.9929  24.4617
14 07 06  01 57 01  87.1743  117.1426  24.4732
14 07 06  01 58 01  86.9762  116.9680  24.4732
14 07 06  01 59 01  87.1000  117.0927  24.4656
14 07 06  02 00 01  87.0752  117.2174  24.4694
14 07 06  02 01 01  87.0505  116.9680  24.4656
14 07 06  02 02 01  87.1248  117.0179  24.4694
14 07 06  02 03 02  87.1495  117.0428  24.4732
14 07 06  02 04 01  87.1495  117.0179  24.4694
14 07 06  02 05 01  87.0505  116.9929  24.4694
14 07 06  02 06 01  87.0257  117.3920  24.4732
14 07 06  02 07 01  86.9762  116.9680  24.4694
14 07 06  02 08 01  87.0505  117.2673  24.4732
14 07 06  02 09 01  86.9762  117.1925  24.4694
14 07 06  02 10 02  86.9762  117.1176  24.4732
14 07 06  02 11 01  86.9762  117.1426  24.4656
14 07 06  02 12 01  86.8770  117.2922  24.4694
14 07 06  02 13 01  87.1743  117.1925  24.4694
14 07 06  02 14 01  86.9265  117.0179  24.4732
14 07 06  02 15 01  87.1000  117.2174  24.4694
14 07 06  02 16 02  87.1495  117.1925  24.4732
14 07 06  02 17 02  86.8770  117.2423  24.4732
14 07 06  02 18 01  87.0257  117.1426  24.4732
14 07 06  02 19 01  87.0752  117.2174  24.4694
14 07 06  02 20 02  87.1248  116.9680  24.4732
14 07 06  02 21 01  87.0009  117.1675  24.4770
14 07 06  02 22 01  87.0009  117.2423  24.4732
14 07 06  02 23 01  87.1000  117.0678  24.4732
14 07 06  02 24 01  87.1495  117.0179  24.4770
14 07 06  02 25 02  87.1000  117.2174  24.4732
14 07 06  02 26 02  86.9018  117.1675  24.4732
14 07 06  02 27 02  87.0505  117.2673  24.4694
14 07 06  02 28 01  87.1248  117.3920  24.4770
14 07 06  02 29 01  87.0009  117.0428  24.4732
14 07 06  02 30 01  86.9514  117.0927  24.4694
14 07 06  02 31 01  87.0752  117.2174  24.4732
14 07 06  02 32 01  86.9762  117.2922  24.4732
14 07 06  02 33 01  87.1000  117.1176  24.4656
14 07 06  02 34 01  87.0257  116.9181  24.4656
14 07 06  02 35 01  87.1495  117.1675  24.4732
14 07 06  02 36 01  87.1743  117.0428  24.4732
14 07 06  02 37 01  87.0505  117.1176  24.4732
14 07 06  02 38 01  87.0009  117.2423  24.4656
14 07 06  02 39 01  87.1000  117.1176  24.4770
14 07 06  02 40 01  87.1000  117.0428  24.4732
14 07 06  02 41 01  87.2982  117.1925  24.4694
14 07 06  02 42 02  87.0505  116.9181  24.4732
14 07 06  02 43 01  87.1495  116.9431  24.4732
14 07 06  02 44 02  87.1495  117.2673  24.4694
14 07 06  02 45 01  86.9514  117.1675  24.4656
14 07 06  02 46 01  87.0009  117.2922  24.4732
14 07 06  02 47 01  87.1000  117.2673  24.4732
14 07 06  02 48 01  87.1248  117.1925  24.4694
14 07 06  02 49 01  87.1248  117.0678  24.4732
14 07 06  02 50 01  87.1000  116.9929  24.4694
14 07 06  02 51 01  87.2982  117.3671  24.4732
14 07 06  02 52 01  87.0257  117.1675  24.4694
14 07 06  02 53 01  86.9762  117.2423  24.4694
14 07 06  02 54 01  86.9265  117.1426  24.4732
14 07 06  02 55 01  87.0257  117.2174  24.4694
14 07 06  02 56 01  87.0257  117.2673  24.4656
14 07 06  02 57 01  87.1495  117.2174  24.4732
14 07 06  02 58 01  87.0752  117.1925  24.4694
14 07 06  02 59 01  87.2486  117.2423  24.4694
14 07 06  03 00 01  86.9514  117.0179  24.4694
14 07 06  03 01 01  87.1991  117.2673  24.4694
14 07 06  03 02 01  86.8770  117.1426  24.4694
14 07 06  03 03 01  87.1000  117.2673  24.4694
14 07 06  03 04 01  87.1495  117.2423  24.4732
14 07 06  03 05 02  87.1000  117.2423  24.4694
14 07 06  03 06 01  87.0752  117.1675  24.4694
14 07 06  03 07 01  87.1743  117.3920  24.4732
14 07 06  03 08 01  87.1743  117.1925  24.4732
14 07 06  03 09 02  87.1495  117.1675  24.4770
14 07 06  03 10 01  87.0752  117.1925  24.4732
14 07 06  03 11 02  87.0505  117.1675  24.4694
14 07 06  03 12 02  87.1248  117.3421  24.4694
14 07 06  03 13 01  87.0752  117.1925  24.4770
14 07 06  03 14 01  87.1495  117.1675  24.4694
14 07 06  03 15 01  87.0752  117.3671  24.4732
14 07 06  03 16 01  87.0009  117.1925  24.4656
14 07 06  03 17 01  87.1000  117.2922  24.4732
14 07 06  03 18 01  87.2239  117.1176  24.4732
14 07 06  03 19 01  87.1743  117.1675  24.4770
14 07 06  03 20 01  87.1248  117.2423  24.4732
14 07 06  03 21 01  87.1991  117.1426  24.4694
14 07 06  03 22 02  87.1495  117.4668  24.4770
14 07 06  03 23 02  87.0009  117.3172  24.4694
14 07 06  03 24 01  87.1248  117.1675  24.4694
14 07 06  03 25 01  87.1743  117.3421  24.4732
14 07 06  03 26 01  87.1991  117.1925  24.4732
14 07 06  03 27 01  87.1991  117.1426  24.4732
14 07 06  03 28 01  87.0257  117.3671  24.4732
14 07 06  03 29 02  87.2734  117.1675  24.4694
14 07 06  03 30 01  87.2239  117.2673  24.4656
14 07 06  03 31 01  87.1991  117.3920  24.4732
14 07 06  03 32 01  87.1495  117.3172  24.4694
14 07 06  03 33 01  87.2982  117.1925  24.4732
14 07 06  03 34 01  87.2486  117.3421  24.4732
14 07 06  03 35 02  87.3229  117.2673  24.4617
14 07 06  03 36 01  86.9514  117.3421  24.4732
14 07 06  03 37 01  87.1000  117.1675  24.4694
14 07 06  03 38 01  87.2486  117.3172  24.4694
14 07 06  03 39 01  87.1991  117.2673  24.4732
14 07 06  03 40 01  87.0009  117.1925  24.4732
14 07 06  03 41 02  87.1000  117.0428  24.4732
14 07 06  03 42 01  87.2734  117.0179  24.4732
14 07 06  03 43 01  87.1991  117.2423  24.4732
14 07 06  03 44 01  87.1991  117.1176  24.4770
14 07 06  03 45 01  87.1743  117.2174  24.4732
14 07 06  03 46 01  87.1000  117.1176  24.4732
14 07 06  03 47 01  87.2239  117.1675  24.4694
